id,artist_name,real_name,gender,debut_year,nationality,birth_date,height,position,image_path,is_published,release_date
20,Gaeul,Kim Ga Eul,Female,2021,South Korean,2002-09-24,164,"Main Dancer, Lead Rapper, Sub-Vocalist",jpg,1,2121
21,Rei,Naoi Rei,Female,2021,Japanese,2004-02-03,170,"Main Rapper, Sub-Vocalist",jpg,1,2121
22,Wonyoung,Jang Won-young,Female,2018,South Korean,2004-08-31,173,"Vocalist, Dancer, Visual",jpg,1,2121
23,Liz,Kim Ji-won,Female,2021,South Korean,2004-11-21,171,"Main Vocalist, Dancer",jpg,1,2121
24,Leeseo,Lee Hyun-seo,Female,2021,South Korean,2007-02-21,166,"Lead Dancer, Sub-Vocalist, Visual, Maknae",jpg,1,2121
25,Jisoo,Kim Ji-soo,Female,2016,South Korean,1995-01-03,162,"Lead Vocalist, Visual",jpg,1,2121
26,Jennie,Kim Jennie,Female,2016,South Korean,1996-01-16,163,"Main Rapper, Lead Vocalist",jpg,1,2121
27,Rosé,Roseanne Park,Female,2016,"New Zealand, South Korean",1997-02-11,168,"Main Vocalist, Lead Dancer",jpg,1,2121
28,Lisa,Lalisa Manobal,Female,2016,Thai,1997-03-27,167,"Main Dancer, Lead Rapper, Sub-Vocalist, Maknae",jpg,1,2121
29,Ruka,Kawai Ruka,Female,2023,Japanese,2002-03-20,165,"Main Dancer, Main Rapper",jpg,1,2121
30,Pharita,Pharita Boonpakdeethaveeyod,Female,2023,Thai,2005-08-26,171,"Vocalist",jpg,1,2121
31,Asa,Enami Asa,Female,2023,Japanese,2006-04-17,167,"Main Rapper, Vocalist, Dancer",jpg,1,2121
32,Ahyeon,Jung Ahyeon,Female,2023,South Korean,2007-04-11,163,"Main Vocalist, Rapper, Dancer, Visual, Center",jpg,1,2121
33,Rora,Lee Da-in,Female,2023,South Korean,2008-08-14,172,"Lead Vocalist, Visual",jpg,1,2121
34,Chiquita,Riracha Phondechaphiphat,Female,2023,Thai,2009-02-17,168,"Vocalist, Dancer, Rapper, Maknae",jpg,1,2121
35,Rami,Shin Haram,Female,2023,South Korean,2007-10-17,172,"Main Vocalist",jpg,1,2121
36,Julie,Julie Han,Female,2023,"American, South Korean",2000-03-29,163,"Leader, Main Rapper, Lead Dancer",jpg,1,2121
37,Natty,Ahnatchaya Suputhipong,Female,2023,"Thai",2002-05-30,167,"Main Dancer, Lead Rapper, Sub-Vocalist",jpg,1,2121
38,Belle,Shim Hye-won / Annabelle Shim,Female,2023,"American, South Korean",2004-03-20,168,"Main Vocalist, Dancer",jpg,1,2121
39,Haneul,Won Ha-neul,Female,2023,South Korean,2005-05-25,169,"Lead Vocalist, Maknae",jpg,1,2121
40,Sunhye,Jeong Sun-hye,Female,2023,South Korean,2004-04-12,159,"Leader, Rapper, Vocalist, Dancer",jpg,1,2121
