id,artist_name,real_name,gender,debut_year,nationality,birth_date,height,position,image_path,is_published,release_date
90,HyunJin,Kim Hyun-jin,Female,2016,South Korean,2000-11-15,163,"Vocalist, Rapper, Dancer",/images/idols/hyunjin.webp,1,2025-12-26
91,Go Won,Park Chae-won,Female,2018,South Korean,2000-11-19,160,"Vocalist, Rapper, Dancer",/images/idols/gowon.webp,1,2025-12-26
92,Choerry,Choi Ye-rim,Female,2017,South Korean,2001-06-04,161,"Vocalist, Rapper, Dancer",/images/idols/choerry.webp,1,2025-12-26
93,HyeJu,Son Hye-ju,Female,2018,South Korean,2001-11-13,165,"Vocalist, Rapper, Dancer",/images/idols/hyeju.webp,1,2025-12-26
94,YeoJin,Im Yeo-Jin,Female,2017,South Korean,2002-11-11,149,"Vocalist, Rapper, Maknae",/images/idols/yeojin.webp,1,2025-12-26
95,Chuu,Kim Ji-woo,Female,2017,South Korean,1999-10-20,161,"Vocalist, Rapper, FOTG",/images/idols/chuu.webp,1,2025-12-26
96,Irene,Bae Joo-hyun,Female,2014,South Korean,1991-03-29,158,"Leader, Main Rapper, Lead Dancer, Sub-Vocalist, Visual, Center",/images/idols/irene.webp,1,2025-12-26
97,Seulgi,Kang Seul Gi,Female,2014,South Korean,1994-02-10,161,"Main Dancer, Lead Vocalist",/images/idols/seulgi.webp,1,2025-12-26
98,Wendy,Son Seung-wan,Female,2014,South Korean,1994-02-21,160,"Main Vocalist",/images/idols/wendy.webp,1,2025-12-26
99,Joy,Park Soo Young,Female,2014,South Korean,1996-09-03,167,"Lead Rapper, Sub-Vocalist",/images/idols/joy.webp,1,2025-12-26
100,Yeri,Kim Ye Rim,Female,2015,South Korean,1999-03-05,159,"Sub-Vocalist, Sub-Rapper, Maknae",/images/idols/yeri.webp,1,2025-12-26
101,Jeon Somi,Ennik Somi Douma,Female,2016,"Canadian, Dutch, South Korean",2001-03-09,172,"Vocalist, Rapper",/images/idols/jeonsomi.webp,1,2025-12-26
102,Taeyeon,Kim Tae-yeon,Female,2007,South Korean,1989-03-09,160,"Leader, Main Vocalist",/images/idols/taeyeon.webp,1,2025-12-26
103,Sunny,Lee Soon Kyu,Female,2007,"South Korean, American",1989-05-15,158,"Lead Vocalist",/images/idols/sunny.webp,1,2025-12-26
104,Tiffany,Stephanie Young Hwang,Female,2007,"South Korean, American",1989-08-01,163,"Lead Vocalist, Rapper",/images/idols/tiffany.webp,1,2025-12-26
105,Hyoyeon,Kim Hyo-yeon,Female,2007,South Korean,1989-09-22,161,"Main Rapper, Main Dancer",/images/idols/hyoyeon.webp,1,2025-12-26
106,Yuri,Kwon Yu-ri,Female,2007,South Korean,1989-12-05,168,"Main Dancer, Lead Rapper, Vocalist",/images/idols/kwonyuri.webp,1,2025-12-26
107,Sooyoung,Choi Soo Young,Female,2007,South Korean,1990-02-10,172,"Lead Rapper, Lead Dancer",/images/idols/sooyoung.webp,1,2025-12-26
108,Yoona,Im Yoon Ah,Female,2007,South Korean,1990-05-30,168,"Lead Rapper, Lead Dancer, Visual, Center",/images/idols/yoona.webp,1,2025-12-26
109,Seohyun,Seo Ju-hyun,Female,2007,South Korean,1991-06-28,170,"Lead Vocalist, Maknae",/images/idols/seohyun.webp,1,2025-12-26
110,Jessica,Jessica Jung,Female,2007,"South Korean, American",1989-04-18,162,"Main Vocalist",/images/idols/jessicajung.webp,1,2025-12-26
111,Solar,Kim Yong Sun,Female,2014,South Korean,1991-02-21,160,"Leader, Vocalist",/images/idols/solar.webp,1,2025-12-26
112,Moonbyul,Moon Byul-yi,Female,2014,South Korean,1992-12-22,163,"Rapper, Performer",/images/idols/moonbyul.webp,1,2025-12-26
113,Wheein,Jung Whee-in,Female,2014,South Korean,1995-04-17,159,"Vocalist, Performer",/images/idols/wheein.webp,1,2025-12-26
114,Hwasa,Ahn Hye-jin,Female,2014,South Korean,1995-07-23,160,"Vocalist, Rapper, Maknae",/images/idols/hwasa.webp,1,2025-12-26
115,CL,Lee Chae-rin,Female,2009,South Korean,1991-02-26,162,"Leader, Main Rapper, Lead Dancer, Lead Vocalist, FOTG",/images/idols/cl.webp,1,2025-12-26
116,Park Bom,Park Bom,Female,2009,South Korean,1984-03-24,165,"Main Vocalist",/images/idols/parkbom.webp,1,2025-12-26
117,Dara,Park Sandara,Female,2009,South Korean,1984-11-12,159,"Vocalist, Sub-Rapper, Visual",/images/idols/dara.webp,1,2025-12-26
118,Minzy,Gong Min-ji,Female,2009,South Korean,1994-01-18,161,"Main Dancer, Lead Vocalist, Lead Rapper, Maknae",/images/idols/minzy.webp,1,2025-12-26
119,Yujin,Choi Yu-jin,Female,2015,South Korean,1996-08-12,163,"Leader, Vocalist",/images/idols/choi_yujin.webp,1,2025-12-26
120,Xiaoting,Shen Xiao Ting,Female,2022,Chinese,1999-11-12,168," Main Dancer, Vocalist, Visual",/images/idols/xiaoting.webp,1,2025-12-26
121,Chaehyun,Kim Chae-hyun,Female,2022,South Korean,2002-04-26,160,"Main Vocalist, Center",/images/idols/chaehyun.webp,1,2025-12-26
122,Dayeon,Kim Da-yeon,Female,2022,South Korean,2003-03-02,158,"Main Dancer, Main Rapper, Vocalist",/images/idols/dayeon.webp,1,2025-12-26
123,Hikaru,Ezaki Hikaru,Female,2022,Japanese,2004-03-12,155,"Main Dancer, Main Rapper, Vocalist",/images/idols/hikaru.webp,1,2025-12-26
